date,state,cases,deaths,fracpos
2020-03-05,Nebraska,0,0,0.1111111111111111
2020-03-06,Nebraska,0,0,0.13978494623655913
2020-03-07,Nebraska,1,0,0.14893617021276595
2020-03-08,Nebraska,0,0,0.17525773195876287
2020-03-09,Nebraska,2,0,0.09574468085106383
2020-03-10,Nebraska,0,0,0.09251101321585904
2020-03-11,Nebraska,2,0,0.10434782608695653
2020-03-12,Nebraska,5,0,0.10112359550561797
2020-03-13,Nebraska,3,0,0.12549019607843137
2020-03-14,Nebraska,1,0,0.10079575596816975
2020-03-15,Nebraska,3,0,0.12176165803108807
2020-03-16,Nebraska,1,0,0.12628865979381443
2020-03-17,Nebraska,3,0,0.04959514170040486
2020-03-18,Nebraska,3,0,0.04410646387832699
2020-03-19,Nebraska,3,0,0.04236760124610592
2020-03-20,Nebraska,5,0,0.042710706150341685
2020-03-21,Nebraska,6,0,0.04352385946512847
2020-03-22,Nebraska,10,0,0.04742684157416751
2020-03-23,Nebraska,2,0,0.0486322188449848
2020-03-24,Nebraska,2,0,0.052830188679245285
2020-03-25,Nebraska,9,0,0.05465587044534413
2020-03-26,Nebraska,12,0,0.0555833750625939
2020-03-27,Nebraska,12,0,0.05601244721049122
2020-03-28,Nebraska,11,2,0.056588995496377525
2020-03-29,Nebraska,12,0,0.05880224353175322
2020-03-30,Nebraska,37,0,0.05655647814507284
2020-03-31,Nebraska,27,1,0.05793928779918271
2020-04-01,Nebraska,38,1,0.06734929333717912
2020-04-02,Nebraska,36,1,0.06914457502049741
2020-04-03,Nebraska,33,1,0.07301546056905288
2020-04-04,Nebraska,42,0,0.07556210836712127
2020-04-05,Nebraska,42,2,0.07996778276377862
2020-04-06,Nebraska,46,0,0.0793615107913669
2020-04-07,Nebraska,38,2,0.08414464534075103
2020-04-08,Nebraska,72,2,0.08451194064456294
2020-04-09,Nebraska,48,2,0.08618887211058196
2020-04-10,Nebraska,68,1,0.09234234234234234
2020-04-11,Nebraska,65,2,0.09639771069464706
2020-04-12,Nebraska,91,0,0.10504567203131797
2020-04-13,Nebraska,23,0,0.1138436315196229
2020-04-14,Nebraska,57,1,0.12926447574334898
2020-04-15,Nebraska,30,2,0.13533595159749495
2020-04-16,Nebraska,51,1,0.1376742206617725
2020-04-17,Nebraska,114,3,0.15681337496223186
2020-04-18,Nebraska,72,0,0.16818909501836332
2020-04-19,Nebraska,149,4,0.18073467935604376
2020-04-20,Nebraska,187,0,0.19165524331734063
2020-04-21,Nebraska,174,5,0.20137734504868202
2020-04-22,Nebraska,74,5,0.20392700016294607
2020-04-23,Nebraska,91,7,0.21211006474396704
2020-04-24,Nebraska,311,2,0.2205950566562852
2020-04-25,Nebraska,297,3,0.23220881556266929
2020-04-26,Nebraska,311,3,0.2381575206141598
2020-04-27,Nebraska,296,3,0.2410448928515564
2020-04-28,Nebraska,330,0,0.24348882666807542
2020-04-29,Nebraska,16,0,0.2424579874468516
2020-04-30,Nebraska,410,12,0.23952749181649985
2020-05-01,Nebraska,497,2,0.23325524900225575
2020-05-02,Nebraska,557,3,0.23423904120834016
2020-05-03,Nebraska,488,3,0.22710579778090326
2020-05-04,Nebraska,584,2,0.22322178241573706
2020-05-05,Nebraska,173,0,0.21673182173573105
2020-05-06,Nebraska,355,4,0.20421133231240432
2020-05-07,Nebraska,333,4,0.1918882531134298
2020-05-08,Nebraska,419,4,0.17658493760581925
2020-05-09,Nebraska,641,2,0.16847175773939188
2020-05-10,Nebraska,403,4,0.1482971453763915
2020-05-11,Nebraska,81,2,0.13857998289136014
2020-05-12,Nebraska,257,2,0.13014076731990062
2020-05-13,Nebraska,120,3,0.12692533176997284
2020-05-14,Nebraska,383,4,0.11854626442599717
2020-05-15,Nebraska,341,6,0.11445857209611175
2020-05-16,Nebraska,356,6,0.11301491028556987
2020-05-17,Nebraska,448,4,0.1033582738820254
2020-05-18,Nebraska,128,0,0.09710429997759132
2020-05-19,Nebraska,277,2,0.09664378154677893
2020-05-20,Nebraska,221,7,0.09527284712086256
2020-05-21,Nebraska,276,6,0.09904057334412208
2020-05-22,Nebraska,303,5,0.10095991510298587
2020-05-23,Nebraska,237,4,0.10140454143038309
2020-05-24,Nebraska,327,0,0.1004032649888252
2020-05-25,Nebraska,145,3,0.10206443129520053
2020-05-26,Nebraska,221,0,0.10270575840892154
2020-05-27,Nebraska,264,3,0.09969486268820969
2020-05-28,Nebraska,357,10,0.10019940179461616
2020-05-29,Nebraska,285,1,0.10196008371190853
2020-05-30,Nebraska,393,6,0.10105295440605194
2020-05-31,Nebraska,251,0,0.09754442405810944
2020-06-01,Nebraska,196,0,0.09541385267787027
2020-06-02,Nebraska,244,8,0.09788961038961039
2020-06-03,Nebraska,266,3,0.09504310344827586
2020-06-04,Nebraska,255,6,0.09145833892752613
2020-06-05,Nebraska,251,0,0.08791303846375642
2020-06-06,Nebraska,262,0,0.08411698469216956
2020-06-07,Nebraska,164,1,0.08274586445173449
2020-06-08,Nebraska,91,0,0.07993966817496229
2020-06-09,Nebraska,118,0,0.08017668875276077
2020-06-10,Nebraska,131,3,0.07908115232536246
2020-06-11,Nebraska,142,4,0.07990506329113924
